timestamp,top_bid_price,top5_volume,last_price
1758860438911,0.0,0.0,0.0
1758860439011,0.0,0.0,0.0
1758860439112,0.0,0.0,0.0
1758860439211,0.0,0.0,0.0
1758860439311,0.0,0.0,0.0
1758860439411,0.0,0.0,0.0
1758860439511,0.0,0.0,0.0
1758860439610,0.0,0.0,0.0
1758860439710,0.0,0.0,0.0
1758860439810,0.0,0.0,0.0
1758860439910,0.0,0.0,0.0
1758860440010,0.0,0.0,0.0
1758860440110,0.0,0.0,0.0
1758860440210,0.0,0.0,0.0
1758860440310,0.0,0.0,0.0
1758860440410,0.0,0.0,0.0
1758860440509,0.0,0.0,0.0
1758860440610,0.0,0.0,0.0
1758860440711,0.0,0.0,0.0
1758860440811,0.0,0.0,0.0
1758860440910,0.0,0.0,0.0
1758860441011,0.0,0.0,0.0
1758860441110,0.0,0.0,0.0
1758860441211,0.0,0.0,0.0
1758860441311,0.0,0.0,0.0
1758860441410,0.0,0.0,0.0
1758860441510,0.0,0.0,0.0
1758860441610,0.0,0.0,0.0
1758860441710,0.0,0.0,0.0
1758860441809,0.0,0.0,0.0
1758860441911,0.0,0.0,0.0
1758860442011,0.0,0.0,0.0
1758860442110,0.0,0.0,0.0
1758860442210,0.0,0.0,0.0
1758860442310,0.0,0.0,0.0
1758860442410,0.0,0.0,3974.44
1758860442510,0.0,0.0,3974.44
1758860442610,0.0,0.0,3974.44
1758860442710,0.0,0.0,3974.44
1758860442813,0.0,0.0,3974.44
1758860442910,0.0,0.0,3974.44
1758860443010,0.0,0.0,3974.44
1758860443110,0.0,0.0,3974.44
1758860443210,0.0,0.0,3974.44
1758860443310,0.0,0.0,3974.44
1758860443410,0.0,0.0,3974.44
1758860443510,0.0,0.0,3974.44
1758860443610,0.0,0.0,3974.44
1758860443710,0.0,0.0,3974.44
1758860443810,0.0,0.0,3974.44
1758860443910,0.0,0.0,3974.44
1758860444011,0.0,0.0,3974.44
1758860444110,0.0,0.0,3974.44
1758860444211,0.0,0.0,3974.44
1758860444310,0.0,0.0,3974.44
1758860444411,0.0,0.0,3974.44
1758860444510,0.0,0.0,3974.44
1758860444611,0.0,0.0,3974.44
1758860444711,0.0,0.0,3974.44
1758860444810,0.0,0.0,3974.44
1758860444910,0.0,0.0,3974.44
1758860445010,0.0,0.0,3974.44
1758860445110,0.0,0.0,3974.44
1758860445210,0.0,0.0,3974.44
1758860445310,0.0,0.0,3974.44
1758860445410,0.0,0.0,3974.44
1758860445510,0.0,0.0,3974.44
1758860445610,0.0,0.0,3974.44
1758860445711,0.0,0.0,3974.44
1758860445811,0.0,0.0,3974.45
1758860445911,0.0,0.0,3974.45
1758860446011,0.0,0.0,3974.45
1758860446111,0.0,0.0,3974.45
1758860446210,0.0,0.0,3974.45
1758860446311,0.0,0.0,3974.45
1758860446411,0.0,0.0,3974.45
1758860446511,0.0,0.0,3974.45
1758860446611,0.0,0.0,3974.45
1758860446711,0.0,0.0,3974.45
1758860446811,0.0,0.0,3974.45
1758860446910,0.0,0.0,3974.45
1758860447011,0.0,0.0,3974.45
1758860447111,0.0,0.0,3974.45
1758860447211,0.0,0.0,3974.45
1758860447311,0.0,0.0,3974.45
1758860447410,0.0,0.0,3974.45
1758860447510,0.0,0.0,3974.45
1758860447610,0.0,0.0,3974.45
1758860447711,0.0,0.0,3974.45
1758860447817,0.0,0.0,3974.45
1758860447910,0.0,0.0,3974.45
1758860448035,0.0,0.0,3974.45
1758860448117,0.0,0.0,3974.45
1758860448210,0.0,0.0,3974.45
1758860448310,0.0,0.0,3974.45
1758860448410,0.0,0.0,3974.45
1758860448517,0.0,0.0,3974.51
1758860448611,0.0,0.0,3974.84
1758860448711,0.0,0.0,3974.84
1758860448810,0.0,0.0,3975.21
1758860448910,0.0,0.0,3975.35
1758860449010,0.0,0.0,3975.35
1758860449110,0.0,0.0,3975.35
1758860449210,0.0,0.0,3975.35
1758860449310,0.0,0.0,3975.35
1758860449411,0.0,0.0,3975.35
1758860449510,0.0,0.0,3975.35
1758860449610,0.0,0.0,3975.35
1758860449710,0.0,0.0,3975.35
1758860449810,0.0,0.0,3975.35
1758860449911,0.0,0.0,3975.35
1758860450011,0.0,0.0,3975.35
1758860450111,0.0,0.0,3976.4
1758860450211,0.0,0.0,3976.4
1758860450311,0.0,0.0,3976.39
1758860450412,0.0,0.0,3976.39
1758860450511,0.0,0.0,3976.39
1758860450611,0.0,0.0,3976.39
1758860450711,0.0,0.0,3976.39
1758860450810,0.0,0.0,3976.39
1758860450910,0.0,0.0,3976.39
1758860451011,0.0,0.0,3976.39
1758860451111,0.0,0.0,3976.39
1758860451210,0.0,0.0,3976.4
1758860451310,0.0,0.0,3976.89
1758860451411,0.0,0.0,3976.89
1758860451513,0.0,0.0,3976.89
1758860451611,0.0,0.0,3976.88
1758860451711,0.0,0.0,3976.88
1758860451811,0.0,0.0,3976.88
1758860451910,0.0,0.0,3976.88
1758860452010,0.0,0.0,3976.88
1758860452110,0.0,0.0,3976.48
1758860452210,0.0,0.0,3976.48
1758860452310,0.0,0.0,3976.48
1758860452411,0.0,0.0,3976.48
1758860452510,0.0,0.0,3976.48
1758860452610,0.0,0.0,3976.48
1758860452710,0.0,0.0,3976.48
1758860452810,0.0,0.0,3976.48
1758860452910,0.0,0.0,3976.49
1758860453010,0.0,0.0,3976.49
1758860453110,0.0,0.0,3976.49
1758860453210,0.0,0.0,3976.49
1758860453310,0.0,0.0,3976.49
1758860453410,0.0,0.0,3976.49
1758860453510,0.0,0.0,3976.49
1758860453610,0.0,0.0,3976.27
1758860453710,0.0,0.0,3976.27
1758860453810,0.0,0.0,3976.27
1758860453911,0.0,0.0,3976.27
1758860454011,0.0,0.0,3976.27
1758860454110,0.0,0.0,3976.27
1758860454211,0.0,0.0,3976.27
1758860454311,0.0,0.0,3976.27
1758860454411,0.0,0.0,3976.27
1758860454511,0.0,0.0,3976.27
1758860454611,0.0,0.0,3976.01
1758860454711,0.0,0.0,3975.56
1758860454811,0.0,0.0,3975.56
1758860454935,0.0,0.0,3975.23
1758860455013,0.0,0.0,3975.06
1758860455111,0.0,0.0,3975.06
1758860455211,0.0,0.0,3975.06
1758860455311,0.0,0.0,3975.06
1758860455411,0.0,0.0,3975.06
1758860455510,0.0,0.0,3975.06
1758860455610,0.0,0.0,3975.06
1758860455710,0.0,0.0,3975.06
1758860455810,0.0,0.0,3975.06
1758860455910,0.0,0.0,3975.06
1758860456010,0.0,0.0,3975.06
1758860456110,0.0,0.0,3975.02
1758860456210,0.0,0.0,3975.02
1758860456312,0.0,0.0,3975.02
1758860456411,0.0,0.0,3975.02
1758860456510,0.0,0.0,3975.02
1758860456610,0.0,0.0,3975.02
1758860456710,0.0,0.0,3975.02
1758860456810,0.0,0.0,3975.02
1758860456910,0.0,0.0,3975.02
1758860457010,0.0,0.0,3974.65
1758860457110,0.0,0.0,3974.65
1758860457211,0.0,0.0,3974.65
1758860457310,0.0,0.0,3974.65
1758860457410,0.0,0.0,3974.65
1758860457510,0.0,0.0,3974.65
1758860457610,0.0,0.0,3974.65
1758860457711,0.0,0.0,3974.65
1758860457811,0.0,0.0,3974.65
1758860457911,0.0,0.0,3974.65
1758860458011,0.0,0.0,3974.64
1758860458115,0.0,0.0,3974.64
1758860458217,0.0,0.0,3974.64
1758860458311,0.0,0.0,3974.64
1758860458411,0.0,0.0,3974.64
1758860458511,0.0,0.0,3974.64
1758860458611,0.0,0.0,3974.64
1758860458711,0.0,0.0,3974.64
1758860458811,0.0,0.0,3974.64
1758860458911,0.0,0.0,3974.64
1758860459011,0.0,0.0,3974.64
1758860459110,0.0,0.0,3974.64
1758860459210,0.0,0.0,3974.64
1758860459310,0.0,0.0,3974.64
1758860459410,0.0,0.0,3974.64
1758860459510,0.0,0.0,3974.64
1758860459610,0.0,0.0,3974.64
1758860459710,0.0,0.0,3974.64
1758860459810,0.0,0.0,3974.64
1758860459910,0.0,0.0,3974.64
1758860460010,0.0,0.0,3974.64
1758860460110,0.0,0.0,3974.64
1758860460212,0.0,0.0,3974.64
1758860460310,0.0,0.0,3974.84
1758860460411,0.0,0.0,3974.84
1758860460510,0.0,0.0,3974.84
1758860460610,0.0,0.0,3974.84
1758860460710,0.0,0.0,3974.84
1758860460811,0.0,0.0,3974.84
1758860460910,0.0,0.0,3974.84
1758860461010,0.0,0.0,3974.84
1758860461110,0.0,0.0,3974.84
1758860461210,0.0,0.0,3974.84
1758860461310,0.0,0.0,3974.84
1758860461410,0.0,0.0,3974.84
1758860461510,0.0,0.0,3974.84
1758860461610,0.0,0.0,3974.84
1758860461710,0.0,0.0,3974.84
1758860461811,0.0,0.0,3974.84
1758860461910,0.0,0.0,3974.84
1758860462011,0.0,0.0,3974.84
1758860462111,0.0,0.0,3974.84
1758860462210,0.0,0.0,3974.84
1758860462311,0.0,0.0,3974.84
1758860462411,0.0,0.0,3974.84
1758860462511,0.0,0.0,3974.84
1758860462611,0.0,0.0,3974.84
1758860462710,0.0,0.0,3974.84
1758860462811,0.0,0.0,3974.84
1758860462911,0.0,0.0,3974.84
1758860463011,0.0,0.0,3974.84
1758860463111,0.0,0.0,3974.84
1758860463213,0.0,0.0,3974.84
1758860463311,0.0,0.0,3974.84
1758860463410,0.0,0.0,3974.84
1758860463511,0.0,0.0,3974.84
1758860463611,0.0,0.0,3974.84
1758860463710,0.0,0.0,3974.83
1758860463811,0.0,0.0,3974.43
1758860463911,0.0,0.0,3974.43
1758860464010,0.0,0.0,3974.43
1758860464111,0.0,0.0,3974.43
1758860464211,0.0,0.0,3974.43
1758860464310,0.0,0.0,3974.43
1758860464411,0.0,0.0,3974.43
1758860464510,0.0,0.0,3974.43
1758860464610,0.0,0.0,3974.43
1758860464710,0.0,0.0,3974.43
1758860464810,0.0,0.0,3974.43
1758860464910,0.0,0.0,3974.44
1758860465010,0.0,0.0,3974.44
1758860465110,0.0,0.0,3974.44
1758860465210,0.0,0.0,3974.44
1758860465310,0.0,0.0,3974.44
1758860465410,0.0,0.0,3974.44
1758860465510,0.0,0.0,3974.44
1758860465610,0.0,0.0,3974.44
1758860465710,0.0,0.0,3974.44
1758860465810,0.0,0.0,3974.44
1758860465910,0.0,0.0,3974.44
1758860466010,0.0,0.0,3974.44
1758860466110,0.0,0.0,3974.44
1758860466210,0.0,0.0,3974.43
1758860466310,0.0,0.0,3974.43
1758860466411,0.0,0.0,3974.43
1758860466511,0.0,0.0,3974.43
1758860466611,0.0,0.0,3974.43
1758860466711,0.0,0.0,3974.43
1758860466811,0.0,0.0,3974.43
1758860466911,0.0,0.0,3974.43
1758860467011,0.0,0.0,3974.43
1758860467111,0.0,0.0,3974.43
1758860467211,0.0,0.0,3974.43
1758860467311,0.0,0.0,3974.43
1758860467411,0.0,0.0,3974.38
1758860467511,0.0,0.0,3974.38
1758860467611,0.0,0.0,3974.38
1758860467711,0.0,0.0,3974.38
1758860467811,0.0,0.0,3974.38
1758860467911,0.0,0.0,3974.38
1758860468011,0.0,0.0,3974.38
1758860468110,0.0,0.0,3974.38
1758860468242,0.0,0.0,3974.38
1758860468317,0.0,0.0,3974.38
1758860468411,0.0,0.0,3974.38
1758860468511,0.0,0.0,3974.38
1758860468611,0.0,0.0,3974.38
1758860468710,0.0,0.0,3974.38
1758860468810,0.0,0.0,3974.38
1758860468910,0.0,0.0,3974.38
1758860469010,0.0,0.0,3974.38
